"TerminalReward","Model"
139,"optimal"
135,"optimal"
141,"optimal"
164,"optimal"
135,"optimal"
168,"optimal"
168,"optimal"
107,"optimal"
177,"optimal"
155,"optimal"
155,"optimal"
176,"optimal"
180,"optimal"
180,"optimal"
180,"optimal"
180,"optimal"
166,"optimal"
177,"optimal"
178,"optimal"
171,"optimal"
131,"optimal"
178,"optimal"
180,"optimal"
156,"optimal"
163,"optimal"
135,"optimal"
177,"optimal"
164,"optimal"
160,"optimal"
179,"optimal"
180,"optimal"
180,"optimal"
180,"optimal"
135,"optimal"
135,"optimal"
156,"optimal"
175,"optimal"
177,"optimal"
176,"optimal"
155,"optimal"
175,"optimal"
178,"optimal"
168,"optimal"
180,"optimal"
176,"optimal"
176,"optimal"
180,"optimal"
178,"optimal"
180,"optimal"
180,"optimal"
168,"optimal"
132,"optimal"
175,"optimal"
180,"optimal"
165,"optimal"
180,"optimal"
175,"optimal"
175,"optimal"
178,"optimal"
180,"optimal"
135,"optimal"
166,"optimal"
179,"optimal"
176,"optimal"
180,"optimal"
177,"optimal"
160,"optimal"
158,"optimal"
180,"optimal"
139,"optimal"
163,"optimal"
159,"optimal"
160,"optimal"
178,"optimal"
180,"optimal"
164,"optimal"
176,"optimal"
156,"optimal"
178,"optimal"
130,"optimal"
180,"optimal"
160,"optimal"
160,"optimal"
180,"optimal"
178,"optimal"
180,"optimal"
157,"optimal"
156,"optimal"
176,"optimal"
173,"optimal"
176,"optimal"
178,"optimal"
161,"optimal"
159,"optimal"
176,"optimal"
130,"optimal"
176,"optimal"
175,"optimal"
177,"optimal"
168,"optimal"
175,"optimal"
180,"optimal"
140,"optimal"
164,"optimal"
160,"optimal"
180,"optimal"
160,"optimal"
155,"optimal"
176,"optimal"
157,"optimal"
180,"optimal"
175,"optimal"
160,"optimal"
180,"optimal"
160,"optimal"
131,"optimal"
129,"optimal"
180,"optimal"
160,"optimal"
175,"optimal"
176,"optimal"
180,"optimal"
177,"optimal"
180,"optimal"
180,"optimal"
177,"optimal"
177,"optimal"
166,"optimal"
140,"optimal"
180,"optimal"
157,"optimal"
177,"optimal"
175,"optimal"
180,"optimal"
127,"optimal"
180,"optimal"
173,"optimal"
161,"optimal"
180,"optimal"
180,"optimal"
130,"optimal"
180,"optimal"
175,"optimal"
180,"optimal"
153,"optimal"
176,"optimal"
168,"optimal"
157,"optimal"
180,"optimal"
166,"optimal"
155,"optimal"
160,"optimal"
180,"optimal"
156,"optimal"
175,"optimal"
180,"optimal"
176,"optimal"
177,"optimal"
100,"optimal"
180,"optimal"
160,"optimal"
160,"optimal"
175,"optimal"
180,"optimal"
180,"optimal"
164,"optimal"
150,"optimal"
177,"optimal"
175,"optimal"
162,"optimal"
155,"optimal"
180,"optimal"
132,"optimal"
168,"optimal"
173,"optimal"
177,"optimal"
179,"optimal"
180,"optimal"
179,"optimal"
180,"optimal"
161,"optimal"
90,"optimal"
135,"optimal"
180,"optimal"
153,"optimal"
180,"optimal"
180,"optimal"
176,"optimal"
177,"optimal"
155,"optimal"
152,"optimal"
177,"optimal"
180,"optimal"
180,"optimal"
177,"optimal"
110,"optimal"
173,"optimal"
180,"optimal"
176,"optimal"
176,"optimal"
180,"optimal"
177,"optimal"
180,"optimal"
165,"optimal"
180,"optimal"
160,"optimal"
180,"optimal"
161,"optimal"
180,"optimal"
175,"optimal"
130,"optimal"
130,"optimal"
168,"optimal"
160,"optimal"
155,"optimal"
160,"optimal"
160,"optimal"
168,"optimal"
155,"optimal"
145,"optimal"
164,"optimal"
131,"optimal"
160,"optimal"
160,"optimal"
175,"optimal"
180,"optimal"
160,"optimal"
180,"optimal"
164,"optimal"
177,"optimal"
180,"optimal"
180,"optimal"
151,"optimal"
160,"optimal"
180,"optimal"
178,"optimal"
153,"optimal"
177,"optimal"
176,"optimal"
170,"optimal"
130,"optimal"
178,"optimal"
173,"optimal"
172,"optimal"
177,"optimal"
175,"optimal"
157,"optimal"
155,"optimal"
175,"optimal"
173,"optimal"
155,"optimal"
127,"optimal"
155,"optimal"
160,"optimal"
180,"optimal"
175,"optimal"
180,"optimal"
